Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
44	850	64.254	41.638	124.1	21.096	99.307	0.42217	2.5006	2.4832	12.671	0.104
71	500	-0.20145	-26.545	0	8.7714	99.289	0.13403	1.1297	1.1216	12.578	0.0425
46	2300	-0.35396	-12.991	-0.77233	19.53	97.635	-0.00217	2.2699	2.2162	12.671	0.0855
73	2150	-0.50695	-10.885	-1.3018	18.604	101.92	0.33508	2.1425	2.1836	12.586	0.068
97	1550	420.36	260.25	901.33	21.711	57.365	0.87986	2.5999	1.4879	12.519	0.838
48	2050	15.448	-11.371	26.789	21.271	101.45	0.04045	2.5282	2.5649	12.658	0.079
86	1100	595.85	354.38	1273.1	21.636	67.91	0.94935	2.5924	1.7503	12.54	0.8665
41	1150	423.29	269.28	924.16	23.316	75.463	1.496	2.8628	2.1602	12.682	0.886
113	750	0	-23.772	0.06702	8.6217	100.06	0.12198	1.1183	1.119	12.467	0.1025
60	250	-0.21995	-13.26	0.27375	19.343	101.68	0.93082	2.2437	2.2815	12.626	0.088
42	1450	158.27	110.86	361.04	22.744	101.2	0.61117	2.7652	2.7985	12.684	0.056
82	1800	296.14	132.87	602.32	21.543	63.364	0.54632	2.571	1.628	12.558	0.2655
68	850	195.77	83.155	353.43	20.666	101.98	0.28134	2.4357	2.4839	12.6	0.3445
107	1550	245.42	159.46	499.95	19.662	65.765	0.54169	2.2892	1.5051	12.487	0.4655
57	500	-1.0544	-13.554	-0.34684	18.458	91.305	0.26003	2.1231	1.9384	12.627	0.072
70	1850	106.62	58.473	231.3	18.565	72.902	0.47684	2.1374	1.5582	12.593	0.276
32	800	100.6	27.159	222.17	17.83	88.917	0.41198	2.0409	1.8147	12.686	0.5385
84	0	-0.75434	-17.569	-0.39572	11.539	97.841	0.12106	1.3596	1.3303	12.551	0.055
47	1300	810.48	537.29	1782.5	29.823	54.922	0.53613	4.2013	2.3058	12.668	1.002
91	950	32.951	20.841	71.648	15.823	99.8	0.84095	1.7967	1.7932	12.53	0.0875
66	800	15.466	-2.3477	35.647	18.939	74.827	0.89191	2.188	1.6372	12.6	0.379
55	600	-1.9209	-5.021	-0.32856	18.193	99.315	0.12106	2.0879	2.0736	12.64	0.054
76	1950	16.337	-0.18811	37.354	16.327	100.93	0.44811	1.8555	1.8727	12.567	0.1355
77	1350	828.4	543.76	1755.8	23.479	62.054	1.5664	2.8911	1.7941	12.571	0.7075
104	2350	-0.66599	-20.742	0.68211	8.8967	98.159	0.13495	1.1393	1.1183	12.493	0.058
76	550	-0.27648	-11.637	-0.07914	11.961	98.18	0.05898	1.398	1.3725	12.57	0.0935
40	2250	-0.02146	-3.3046	0.59618	19.44	96.384	0.19796	2.2573	2.1757	12.685	0.033
115	750	0.71434	-0.49445	0.01218	12.541	101.21	0.06269	1.4524	1.4699	12.459	0.071
