a0	a3	!t0	!t1	!t2	!t3	!t4	!t5	!t6	!t7	!t8	!t9
183	240	0	1	0	0	0	0	0	0	0	0
147	6	0	1	0	0	0	0	0	0	0	0
138	64	0	1	0	0	0	0	0	0	0	0
104	195	0	1	0	0	0	0	0	0	0	0
19	92	0	1	0	0	0	0	0	0	0	0
83	0	0	1	0	0	0	0	0	0	0	0
164	192	0	1	0	0	0	0	0	0	0	0
36	221	0	1	0	0	0	0	0	0	0	0
159	120	0	1	0	0	0	0	0	0	0	0
5	68	0	1	0	0	0	0	0	0	0	0
8	250	0	1	0	0	0	0	0	0	0	0
131	225	0	1	0	0	0	0	0	0	0	0
146	18	0	1	0	0	0	0	0	0	0	0
148	8	0	1	0	0	0	0	0	0	0	0
26	159	0	1	0	0	0	0	0	0	0	0
78	62	0	1	0	0	0	0	0	0	0	0
146	112	0	1	0	0	0	0	0	0	0	0
73	251	0	1	0	0	0	0	0	0	0	0
147	36	0	1	0	0	0	0	0	0	0	0
179	122	0	1	0	0	0	0	0	0	0	0
32	255	0	1	0	0	0	0	0	0	0	0
143	255	0	1	0	0	0	0	0	0	0	0
129	135	0	1	0	0	0	0	0	0	0	0
114	193	0	1	0	0	0	0	0	0	0	0
181	0	0	1	0	0	0	0	0	0	0	0
93	225	0	1	0	0	0	0	0	0	0	0
126	3	0	1	0	0	0	0	0	0	0	0
141	0	0	1	0	0	0	0	0	0	0	0
121	60	0	1	0	0	0	0	0	0	0	0
151	4	0	1	0	0	0	0	0	0	0	0
148	48	0	1	0	0	0	0	0	0	0	0
150	223	0	1	0	0	0	0	0	0	0	0
146	199	0	1	0	0	0	0	0	0	0	0
153	253	0	1	0	0	0	0	0	0	0	0
7	146	0	1	0	0	0	0	0	0	0	0
121	131	0	1	0	0	0	0	0	0	0	0
43	221	0	1	0	0	0	0	0	0	0	0
75	0	0	1	0	0	0	0	0	0	0	0
88	255	0	1	0	0	0	0	0	0	0	0
138	135	0	1	0	0	0	0	0	0	0	0
82	143	0	1	0	0	0	0	0	0	0	0
133	131	0	1	0	0	0	0	0	0	0	0
